id,nombre,stock,precio,sku,categoria
1,AMAZING SPIDER-MAN #1,50,7,C001,COMICS/MARVEL/SPIDER-MAN
2,BATMAN: THE KILLING JOKE,30,15,C002,COMICS/DC/BATMAN
3,DRAGON BALL SUPER VOL 1,100,10,M001,MANGA/SHONEN/DRAGON BALL
4,BERSERK DELUXE VOL 1,20,50,M002,MANGA/SEINEN/BERSERK
5,FUNKO POP! IRON MAN,60,12,F001,MERCHANDISING/FIGURAS/FUNKO
6,X-MEN '97 #1,40,7,C003,COMICS/MARVEL/X-MEN
7,ONE PIECE VOL 100,80,10,M003,MANGA/SHONEN/ONE PIECE
8,REMERA LOGO BATMAN,0,20,R001,MERCHANDISING/ROPA/REMERAS
9,SAGA VOL 1,12,13,C004,COMICS/INDEPENDIENTE/SAGA
10,SUPERMAN: ACTION COMICS #1000,20,10,C005,COMICS/DC/SUPERMAN
11,NARUTO VOL 1,45,10,M004,MANGA/SHONEN/NARUTO
12,NENDOROID EREN YAEGER,10,60,F002,MERCHANDISING/FIGURAS/NENDOROID
13,WATCHMEN,30,25,C006,COMICS/DC/VERTIGO
14,BATMAN,20,10,M006,COMICS/DC/BATMAN
